,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
465,W07000075,0.465109786,Owen Smith MP,Pontypridd,5028,550,2017 General Election,60564,11448,Lab Hold,39894,Owen Smith,87.0,AyeVote,Owen Smith,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,,,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
466,E14000867,0.4646776483,Lilian Greenwood MP,Nottingham South,7937,528,2017 General Election,71182,15162,Lab Hold,48129,Lilian Greenwood,91.0,AyeVote,Lilian Greenwood,AyeVote,AyeVote,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
467,E14001015,0.46459651,Rt Hon Edward Vaizey MP,Wantage,13296,991,2017 General Election,85786,17380,Con Hold,63602,Mr Edward Vaizey,72.0,AyeVote,Mr Edward Vaizey,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote,,,NoVote,AyeVote,AyeVote,AyeVote
468,E14000817,0.464405927,Rt Hon Sir Nicholas Soames MP,Mid Sussex,11789,976,2017 General Election,84170,19673,Con Hold,61632,Sir Nicholas Soames,79.0,NoVote,Sir Nicholas Soames,AyeVote,AyeVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
469,E14001046,0.4634465746,Robert Courts MP,Witney,11863,989,2017 General Election,82727,21241,Con Hold,60927,Robert Courts,90.0,NoVote,Robert Courts,NoVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
470,E14000958,0.462928366,Damien Moore MP,Southport,6196,887,2017 General Election,69400,2914,Con Gain,47956,Damien Moore,89.0,NoVote,Damien Moore,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote
471,E14000679,0.462692813,Rt Hon Stephen Timms MP,East Ham,6343,275,2017 General Election,83928,39883,Lab Hold,56633,Stephen Timms,72.0,AyeVote,Stephen Timms,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
472,E14000675,0.46256092157731504,Stephen Pound MP,Ealing North,8547,324,2017 General Election,74764,19693,Lab Hold,52516,Stephen Pound,90.0,AyeVote,Stephen Pound,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
473,E14000767,0.462056819,Rt Hon Jeremy Wright QC MP,Kenilworth and Southam,8896,769,2017 General Election,66319,18076,Con Hold,51321,Jeremy Wright,67.0,,Jeremy Wright,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
474,E14000951,0.461954801,Rt Hon David Gauke MP,South West Hertfordshire,12282,855,2017 General Election,81087,19550,Con Hold,60653,Mr David Gauke,69.0,,Mr David Gauke,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
475,E14000844,0.461789136,Mr Ranil Jayawardena MP,North East Hampshire,10559,986,2017 General Election,74576,27772,Con Hold,57627,Mr Ranil Jayawardena,93.0,NoVote,Mr Ranil Jayawardena,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
476,E14000901,0.460755865,Rt Hon Caroline Nokes MP,Romsey and Southampton North,8811,800,2017 General Election,67186,18046,Con Hold,50128,Caroline Nokes,74.0,,Caroline Nokes,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
477,E14000777,0.45960968,Rt Hon Hilary Benn MP,Leeds Central,8448,804,2017 General Election,89537,23698,Lab Hold,47673,Hilary Benn,69.0,AyeVote,Hilary Benn,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
478,E14000980,0.458621591,Dr David Drew MP,Stroud,12116,996,2017 General Election,82839,687,Lab Gain,63816,Dr David Drew,90.0,AyeVote,Dr David Drew,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
479,E14001003,0.458503699,Sarah Newton MP,Truro and Falmouth,10914,939,2017 General Election,74683,3792,Con Hold,56647,Sarah Newton,89.0,,Sarah Newton,AyeVote,AyeVote,,NoVote,,AyeVote,AyeVote,NoVote,,,NoVote,AyeVote,AyeVote,AyeVote
480,E14000656,0.4580567492099587,Chris Philp MP,Croydon South,10540,864,2017 General Election,83518,11406,Con Hold,61257,Chris Philp,88.0,NoVote,Chris Philp,NoVote,NoVote,NoVote,,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
481,E14000987,0.456315582,Rt Hon Esther McVey MP,Tatton,8283,836,2017 General Election,67874,14787,Con Hold,49116,Esther McVey,71.0,NoVote,Esther McVey,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
482,E14000687,0.4550961719781256,Kate Osamor MP,Edmonton,4215,227,2017 General Election,65777,21115,Lab Hold,43678,Kate Osamor,88.0,AyeVote,Kate Osamor,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
